,country,year,sex,suicides_rate
229,Aruba,2007,male,81.02000000000001
230,Aruba,2008,female,5.5
231,Aruba,2008,male,35.940000000000005
232,Aruba,2009,female,0.0
233,Aruba,2009,male,42.230000000000004
234,Aruba,2010,female,9.82
235,Aruba,2010,male,48.83
236,Aruba,2011,female,25.450000000000003
237,Aruba,2011,male,67.97
238,Australia,1985,female,36.300000000000004
239,Australia,1985,male,127.11
240,Australia,1986,female,35.379999999999995
241,Australia,1986,male,140.41
242,Australia,1987,female,35.629999999999995
243,Australia,1987,male,153.19
244,Australia,1988,female,36.50000000000001
245,Australia,1988,male,142.82
246,Australia,1989,female,32.489999999999995
247,Australia,1989,male,135.62
248,Australia,1990,female,34.02
249,Australia,1990,male,138.32999999999998
250,Australia,1991,female,35.690000000000005
251,Australia,1991,male,144.46
252,Australia,1992,female,35.349999999999994
253,Australia,1992,male,135.29000000000002
254,Australia,1993,female,28.2
255,Australia,1993,male,126.75
256,Australia,1994,female,29.09
257,Australia,1994,male,138.66
258,Australia,1995,female,30.54
259,Australia,1995,male,124.64999999999999
260,Australia,1996,female,29.97
261,Australia,1996,male,145.36999999999998
262,Australia,1997,female,36.519999999999996
263,Australia,1997,male,150.41000000000003
264,Australia,1998,female,34.2
265,Australia,1998,male,142.20999999999998
266,Australia,1999,female,29.6
267,Australia,1999,male,137.54999999999998
268,Australia,2000,female,31.34
269,Australia,2000,male,126.48
270,Australia,2001,female,31.529999999999998
271,Australia,2001,male,127.26
272,Australia,2002,female,30.1
273,Australia,2002,male,114.58000000000003
274,Australia,2003,female,26.980000000000004
275,Australia,2003,male,106.86
276,Australia,2004,female,26.429999999999996
277,Australia,2004,male,107.32999999999998
278,Australia,2006,female,28.67
279,Australia,2006,male,99.22
280,Australia,2007,female,28.73
281,Australia,2007,male,101.52
282,Australia,2008,female,26.2
283,Australia,2008,male,104.28999999999999
284,Australia,2009,female,29.52
285,Australia,2009,male,100.6
286,Australia,2010,female,29.07
287,Australia,2010,male,103.56999999999998
288,Australia,2011,female,30.640000000000004
289,Australia,2011,male,102.57999999999998
290,Australia,2012,female,34.00999999999999
291,Australia,2012,male,105.56
292,Australia,2013,female,33.080000000000005
293,Australia,2013,male,105.7
294,Australia,2014,female,34.88
295,Australia,2014,male,114.19000000000001
296,Australia,2015,female,35.940000000000005
297,Australia,2015,male,118.24000000000001
298,Austria,1985,female,96.99
299,Austria,1985,male,287.82
300,Austria,1986,female,98.65
301,Austria,1986,male,303.15
302,Austria,1987,female,99.23000000000002
303,Austria,1987,male,306.65000000000003
304,Austria,1988,female,83.41
305,Austria,1988,male,274.23
306,Austria,1989,female,94.36999999999999
307,Austria,1989,male,264.95
308,Austria,1990,female,87.31
309,Austria,1990,male,266.47
310,Austria,1991,female,73.35999999999999
311,Austria,1991,male,282.11
312,Austria,1992,female,74.03999999999999
313,Austria,1992,male,267.7
314,Austria,1993,female,71.72999999999999
315,Austria,1993,male,276.22999999999996
316,Austria,1994,female,76.36
317,Austria,1994,male,267.26
318,Austria,1995,female,71.34
319,Austria,1995,male,276.75
320,Austria,1996,female,70.1
321,Austria,1996,male,272.54999999999995
322,Austria,1997,female,62.629999999999995
323,Austria,1997,male,234.87000000000003
324,Austria,1998,female,57.73
325,Austria,1998,male,231.65
326,Austria,1999,female,65.94
327,Austria,1999,male,214.35999999999999
328,Austria,2000,female,63.93999999999999
329,Austria,2000,male,225.83
330,Austria,2001,female,60.0
331,Austria,2001,male,201.91
332,Austria,2002,female,51.88
333,Austria,2002,male,225.04000000000002
334,Austria,2003,female,55.62
335,Austria,2003,male,201.44
336,Austria,2004,female,49.09
337,Austria,2004,male,204.95
338,Austria,2005,female,49.839999999999996
339,Austria,2005,male,185.41
340,Austria,2006,female,43.120000000000005
341,Austria,2006,male,175.77999999999997
342,Austria,2007,female,45.480000000000004
343,Austria,2007,male,171.83
344,Austria,2008,female,41.980000000000004
345,Austria,2008,male,174.47
346,Austria,2009,female,41.69
347,Austria,2009,male,171.53
348,Austria,2010,female,39.71
349,Austria,2010,male,167.84000000000003
350,Austria,2011,female,41.919999999999995
351,Austria,2011,male,169.57
352,Austria,2012,female,39.839999999999996
353,Austria,2012,male,166.79
354,Austria,2013,female,43.49
355,Austria,2013,male,168.63
356,Austria,2014,female,44.11999999999999
357,Austria,2014,male,165.7
358,Austria,2015,female,39.14
359,Austria,2015,male,155.48000000000002
360,Austria,2016,female,37.6
361,Austria,2016,male,145.63
362,Azerbaijan,1990,female,6.14
363,Azerbaijan,1990,male,18.469999999999995
364,Azerbaijan,1991,female,6.1499999999999995
365,Azerbaijan,1991,male,26.080000000000002
366,Azerbaijan,1992,female,10.989999999999998
367,Azerbaijan,1992,male,23.790000000000003
368,Azerbaijan,1993,female,9.35
369,Azerbaijan,1993,male,22.169999999999998
370,Azerbaijan,1994,female,4.050000000000001
371,Azerbaijan,1994,male,7.99
372,Azerbaijan,1995,female,1.9
373,Azerbaijan,1995,male,12.38
374,Azerbaijan,1996,female,4.7700000000000005
375,Azerbaijan,1996,male,13.059999999999999
376,Azerbaijan,1997,female,3.2399999999999998
377,Azerbaijan,1997,male,15.350000000000001
378,Azerbaijan,1998,female,4.08
379,Azerbaijan,1998,male,6.59
380,Azerbaijan,1999,female,1.48
381,Azerbaijan,1999,male,7.1000000000000005
382,Azerbaijan,2000,female,4.48
383,Azerbaijan,2000,male,9.930000000000001
384,Azerbaijan,2001,female,18.66
385,Azerbaijan,2001,male,41.39
386,Azerbaijan,2002,female,3.82
387,Azerbaijan,2002,male,15.599999999999998
388,Azerbaijan,2003,female,8.6
389,Azerbaijan,2003,male,18.47
390,Azerbaijan,2004,female,8.32
391,Azerbaijan,2004,male,10.01
392,Azerbaijan,2007,female,2.3200000000000003
393,Azerbaijan,2007,male,9.510000000000002
394,Bahamas,1985,female,0.0
395,Bahamas,1985,male,4.76
396,Bahamas,1987,female,0.0
397,Bahamas,1987,male,13.59
398,Bahamas,1993,female,8.4
399,Bahamas,1993,male,29.11
400,Bahamas,1994,female,0.0
401,Bahamas,1994,male,10.6
402,Bahamas,1995,female,0.0
403,Bahamas,1995,male,7.16
404,Bahamas,1996,female,0.0
405,Bahamas,1996,male,9.82
406,Bahamas,1997,female,0.0
407,Bahamas,1997,male,7.15
408,Bahamas,1998,female,0.0
409,Bahamas,1998,male,11.09
410,Bahamas,1999,female,3.94
411,Bahamas,1999,male,19.02
412,Bahamas,2000,female,10.35
413,Bahamas,2000,male,30.310000000000002
414,Bahamas,2001,female,0.0
415,Bahamas,2001,male,2.68
416,Bahamas,2002,female,0.0
417,Bahamas,2002,male,9.969999999999999
418,Bahamas,2003,female,0.0
419,Bahamas,2003,male,2.49
420,Bahamas,2004,female,0.0
421,Bahamas,2004,male,5.93
422,Bahamas,2005,female,3.72
423,Bahamas,2005,male,9.6
424,Bahamas,2006,female,0.0
425,Bahamas,2006,male,5.640000000000001
426,Bahamas,2007,female,2.04
427,Bahamas,2007,male,11.38
428,Bahamas,2008,female,0.0
429,Bahamas,2008,male,12.490000000000002
430,Bahamas,2009,female,1.93
431,Bahamas,2009,male,14.05
432,Bahamas,2010,female,12.149999999999999
433,Bahamas,2010,male,46.17
434,Bahamas,2011,female,3.43
435,Bahamas,2011,male,9.559999999999999
436,Bahamas,2012,female,1.84
437,Bahamas,2012,male,10.0
438,Bahamas,2013,female,1.83
439,Bahamas,2013,male,12.08
440,Bahrain,1985,female,3.72
441,Bahrain,1985,male,16.4
442,Bahrain,1987,female,6.23
443,Bahrain,1987,male,19.450000000000003
444,Bahrain,1988,female,3.24
445,Bahrain,1988,male,21.56
446,Bahrain,1997,female,0.0
447,Bahrain,1997,male,0.0
448,Bahrain,1998,female,0.0
449,Bahrain,1998,male,0.0
450,Bahrain,1999,female,5.57
451,Bahrain,1999,male,16.89
452,Bahrain,2000,female,1.88
453,Bahrain,2000,male,30.849999999999998
454,Bahrain,2001,female,5.09
455,Bahrain,2001,male,25.569999999999997
456,Bahrain,2002,female,10.75
457,Bahrain,2002,male,16.93
458,Bahrain,2003,female,7.89
459,Bahrain,2003,male,24.5
460,Bahrain,2004,female,9.74
461,Bahrain,2004,male,44.47
462,Bahrain,2005,female,9.33
463,Bahrain,2005,male,30.889999999999997
464,Bahrain,2006,female,13.56
465,Bahrain,2006,male,13.62
466,Bahrain,2007,female,6.61
467,Bahrain,2007,male,25.48
468,Bahrain,2008,female,8.67
469,Bahrain,2008,male,19.22
470,Bahrain,2009,female,5.699999999999999
471,Bahrain,2009,male,18.89
472,Bahrain,2010,female,3.79
473,Bahrain,2010,male,8.1
474,Bahrain,2011,female,6.2700000000000005
475,Bahrain,2011,male,8.690000000000001
476,Bahrain,2012,female,0.9
477,Bahrain,2012,male,7.78
478,Bahrain,2013,female,0.0
479,Bahrain,2013,male,2.49
480,Bahrain,2014,female,0.9
481,Bahrain,2014,male,5.62
482,Barbados,1985,female,9.09
483,Barbados,1985,male,52.629999999999995
484,Barbados,1986,female,4.55
485,Barbados,1986,male,32.18
486,Barbados,1987,female,8.2
487,Barbados,1987,male,21.26
488,Barbados,1988,female,5.15
489,Barbados,1988,male,52.24
490,Barbados,1989,female,17.03
491,Barbados,1989,male,56.55
492,Barbados,1990,female,12.690000000000001
493,Barbados,1990,male,108.53999999999999
494,Barbados,1991,female,19.35
